,churn,chat_log,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,document_score,magnitude,max_score,min_score,mean_score,std_score,max_weighted_score,min_weighted_score,mean_weighted_score,std_weighted_score
0,no,,DC,73,area_code_408,no,no,0,122.0,92,20.74,138.3,114,11.76,224.2,128,10.09,5.8,5,1.57,1,,,,,,,,,,
1,no,,OH,114,area_code_415,no,no,0,191.5,88,32.56,175.2,78,14.89,220.3,118,9.91,0.0,0,0.0,0,,,,,,,,,,
2,yes,"Customer: I just received an early termination fee of $200.00 for canceling my contract. So I would like to terminate my contract. I understand that you are making this fee refundable.
TelCom Agent: Absolutely. We can do that. We will refund the early termination fee for you right now.
Customer: Is there a way that I can get that refunded since it's currently going to take 8 days to process the refund?
TelCom Agent: We can do that, I don't know exactly how it works for the refund. I would have to look at my computer and ask TelCom for more details, but we can get that refunded for",MS,65,area_code_415,yes,no,0,277.9,123,47.24,155.8,112,13.24,256.9,71,11.56,9.2,10,2.48,0,-0.30000001192092896,3.0999999046325684,0.0,-0.6000000238418579,-0.28888889650503796,0.23778816894650756,0.0,-0.36000002861023006,-0.14000000781483135,0.14165687198064364
3,no,"Customer: I would like to upgrade my contract to the following plan.
TelCom Agent: Thank you, you can either speak to a customer representative or you can get in touch with us by using our Live Chat. You can also call us on 1800 800 878 or on 1300 137 613.
Customer: Okay, I'd like to upgrade my package to the following package.
TelCom Agent: Thank you, and you can either speak to a customer representative or you can get in touch with us by using our Live Chat. You can also call us on 1800 800 878 or on 1300 137 613.
Customer",WY,126,area_code_408,yes,no,0,197.6,126,33.59,246.5,112,20.95,285.3,104,12.84,12.5,8,3.38,2,0.10000000149011612,2.299999952316284,0.5,-0.20000000298023224,0.1714285739830562,0.281395939874317,0.25,-0.040000001192092904,0.0857142874172756,0.11524596633381042
4,no,"Customer: Voice, text and data.
TelCom Agent: And what would be your current term?
Customer: I have a contract for 12 months.
TelCom Agent: And how long is your current term?
Customer: It's 3 years.
TelCom Agent: Thank you Ronnie. The document you supplied me with was about a month old so can you send me an updated one now?
Customer: Sure. Sure.
TelCom Agent: And can you just follow the service terms that you provide them?
Customer: Sure, I can. I mean I can go through the whole thing and I just",WY,54,area_code_408,no,yes,39,143.9,73,24.46,210.3,117,17.88,129.2,117,5.81,12.5,8,3.38,2,0.0,2.799999952316284,0.4000000059604645,-0.30000001192092896,0.0666666670391957,0.23921167275634905,0.16000000476837162,-0.09000000715255752,0.031666667237877845,0.08132582230605562
5,no,"Customer: I would like to upgrade my voice and text. Can you update my number?
TelCom Agent: Sure, I can tell you that we can upgrade your number at the moment, but our current policy is to offer you the cheapest plan available. So if that is the case, we can upgrade your number today and we will notify you as soon as it is done. But I do have to make sure that you understand that.
Customer: Okay, I understand. Thank you.
TelCom Agent: Thank you. The upgrade will cost $35 per month for three years or until your voice/text subscription lapses",AK,100,area_code_415,no,yes,29,213.6,127,36.31,175.9,82,14.95,207.2,100,9.32,8.9,3,2.4,1,0.0,2.5,0.800000011920929,-0.4000000059604645,0.022222222553359136,0.3325917741626814,0.6400000190734865,-0.16000000476837162,0.05111111263434095,0.21809501395653255
6,yes,"Customer: So at the end of the day, I just want to leave and I haven't heard from them in months.
TelCom Agent: Oh, okay. Can you let me know what the problem is?
Customer: I've been busy with my family and I haven't had a chance to do anything with the modem recently. I don't want to pay for service they can't fix. I've been fighting with them for a month now and I'm pretty sure I speak for other people when I say that we deserve better.
TelCom Agent: I'm sorry to hear that Esperanza. Can I ask you, did you send a complaint letter to",OK,82,area_code_510,no,no,0,329.8,73,56.07,208.3,120,17.71,267.1,102,12.02,10.6,6,2.86,0,-0.4000000059604645,3.799999952316284,0.0,-0.699999988079071,-0.43749999813735485,0.24462981627441616,0.0,-0.4899999833106996,-0.2512499953806401,0.19782804162074416
7,no,"Customer: I don't need to upgrade my contract. I just want to upgrade my phone.
TelCom Agent: Great. So I can start with a quick check of your account. So the year is 2006. You have a $28.00 monthly bill. And your first bill is for $89.00. So that is why I want to get a quick look at you account.
Customer: $28.00/mo for internet, and $89.00/mo for phone.
TelCom Agent: Oh, wow! Okay. And where would you like to send the invoice?
Customer: I have it",IA,52,area_code_408,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0.0,4.699999809265137,0.800000011920929,-0.699999988079071,-0.007692305514445672,0.41223880389772816,0.6400000190734865,-0.4899999833106996,0.04230769631954341,0.287754008259597
8,yes,"Customer: So I've been paying $140 a month for the last 3 years and I called Tech Support using the TelCom Chat feature to cancel a month ago, but T-Mobile doesn't allow me to do that.
TelCom Agent: Okay, how can I help you today?
Customer: So I've been getting messages about how to send in a product identification number for a refund. And I don't have any product identification number. And I'd like to cancel my contract.
TelCom Agent: Okay, I can help you by calling Tech Support and requesting that a product identification number be sent to you for a refund. What is the TelCom Chat feature?
Customer",AL,60,area_code_408,yes,yes,29,265.9,113,45.2,215.8,94,18.34,108.1,82,4.86,14.0,12,3.78,0,-0.4000000059604645,3.5,0.0,-0.699999988079071,-0.39999999944120646,0.2999999973302088,0.0,-0.4899999833106996,-0.24999999795109046,0.21667948139484206
9,yes,"Customer: I'm not happy with the service because it just doesn't work well for me. The internet comes up very slow, it comes up very slow, and I don't have a password to gain access to my account, and I even have the password and it's not working as I want it to work, so it's very slow.
TelCom Agent: Oh, I see. Well I can give you a little more information on that when you come in.
Customer: Oh great, thank you. Can I get the phone number for that company?
TelCom Agent: Yes, you're through to 1-800-380-4331 and there is a Customer",IN,88,area_code_415,no,no,0,82.7,94,14.06,157.5,130,13.39,205.9,81,9.27,10.6,4,2.86,0,-0.10000000149011612,2.799999952316284,0.800000011920929,-0.800000011920929,-0.12857143048729217,0.5091008556206356,0.6400000190734865,-0.6400000190734865,-0.09285714562450138,0.408576435722417
